Song_title,Artist,genre,release_date,topic,len,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
waking the demon,bullet for my valentine,pop,2008.0,violence,84.0,1ZEoYuekZQo62DLFtPVdqT,0.561,0.705,2.0,-6.397,1.0,0.598,0.0476,0.0,0.105,0.619,85.753,audio_features,3hfBEQdxCDfrCOpEqo5Dpt,spotify:track:3hfBEQdxCDfrCOpEqo5Dpt,https://api.spotify.com/v1/tracks/3hfBEQdxCDfrCOpEqo5Dpt,https://api.spotify.com/v1/audio-analysis/3hfBEQdxCDfrCOpEqo5Dpt,202933.0,5.0
no more hot dogs,hasil adkins,blues,2002.0,violence,57.0,5ZeMGAJVrndrE0pVLo593J,0.584,0.552,11.0,-12.36,0.0,0.0341,0.281,0.0,0.0842,0.71,137.587,audio_features,4NfNr2aOxfZkkDHue5gjKf,spotify:track:4NfNr2aOxfZkkDHue5gjKf,https://api.spotify.com/v1/tracks/4NfNr2aOxfZkkDHue5gjKf,https://api.spotify.com/v1/audio-analysis/4NfNr2aOxfZkkDHue5gjKf,160573.0,4.0
changes,langhorne slim,pop,2015.0,world/life,47.0,0gKiONJeEtwb3hps4sUgyn,0.608,0.2,2.0,-16.85,1.0,0.0386,0.187,5.61e-05,0.0885,0.243,131.984,audio_features,1JlZVLefhkfycX8WfJdlSR,spotify:track:1JlZVLefhkfycX8WfJdlSR,https://api.spotify.com/v1/tracks/1JlZVLefhkfycX8WfJdlSR,https://api.spotify.com/v1/audio-analysis/1JlZVLefhkfycX8WfJdlSR,232107.0,3.0
pavane,regina carter,jazz,2003.0,violence,73.0,1IdTBf0QfIvl4giLRuNOk0,0.735,0.846,7.0,-5.835,1.0,0.03,0.016,0.00014,0.0877,0.652,96.03,audio_features,1NCWCb7cJN99U49oo1Fibg,spotify:track:1NCWCb7cJN99U49oo1Fibg,https://api.spotify.com/v1/tracks/1NCWCb7cJN99U49oo1Fibg,https://api.spotify.com/v1/audio-analysis/1NCWCb7cJN99U49oo1Fibg,206896.0,4.0
on trial,haystak,country,2000.0,obscene,177.0,3hfBEQdxCDfrCOpEqo5Dpt,0.616,0.833,4.0,-5.358,1.0,0.0747,0.00052,0.0904,0.172,0.73,130.9,audio_features,0HQE2SbrXTX849UcgfXLad,spotify:track:0HQE2SbrXTX849UcgfXLad,https://api.spotify.com/v1/tracks/0HQE2SbrXTX849UcgfXLad,https://api.spotify.com/v1/audio-analysis/0HQE2SbrXTX849UcgfXLad,385013.0,4.0
i woke up in love this morning,david cassidy,pop,1974.0,feelings,68.0,4NfNr2aOxfZkkDHue5gjKf,0.275,0.982,8.0,-3.169,1.0,0.178,0.000175,0.0,0.121,0.378,162.134,audio_features,4OPFX9TRHlEz1M5JGCvoiL,spotify:track:4OPFX9TRHlEz1M5JGCvoiL,https://api.spotify.com/v1/tracks/4OPFX9TRHlEz1M5JGCvoiL,https://api.spotify.com/v1/audio-analysis/4OPFX9TRHlEz1M5JGCvoiL,117333.0,4.0
isolation,joe cocker,blues,1987.0,world/life,35.0,1JlZVLefhkfycX8WfJdlSR,0.485,0.282,7.0,-8.949,1.0,0.0298,0.432,0.0,0.11,0.406,139.136,audio_features,6a0zu7tOqPUHQfoP7YJ9nS,spotify:track:6a0zu7tOqPUHQfoP7YJ9nS,https://api.spotify.com/v1/tracks/6a0zu7tOqPUHQfoP7YJ9nS,https://api.spotify.com/v1/audio-analysis/6a0zu7tOqPUHQfoP7YJ9nS,201707.0,4.0
away from me,puddle of mudd,pop,2003.0,sadness,77.0,0UGsSjbp8vhm8QfNOIdmMy,0.557,0.293,4.0,-14.387,1.0,0.0573,0.893,0.0,0.11,0.854,136.599,audio_features,5rtGkBfghA7kPeg8o1PKw3,spotify:track:5rtGkBfghA7kPeg8o1PKw3,https://api.spotify.com/v1/tracks/5rtGkBfghA7kPeg8o1PKw3,https://api.spotify.com/v1/audio-analysis/5rtGkBfghA7kPeg8o1PKw3,113253.0,4.0
disguise,dirty heads,reggae,2012.0,world/life,127.0,1NCWCb7cJN99U49oo1Fibg,0.36,0.439,7.0,-10.607,1.0,0.0304,0.415,0.0,0.0792,0.458,138.351,audio_features,6CAkmqFlO5S3o0QDUuzcYr,spotify:track:6CAkmqFlO5S3o0QDUuzcYr,https://api.spotify.com/v1/tracks/6CAkmqFlO5S3o0QDUuzcYr,https://api.spotify.com/v1/audio-analysis/6CAkmqFlO5S3o0QDUuzcYr,191827.0,3.0
soul stripper,ac/dc,rock,1984.0,sadness,55.0,0HQE2SbrXTX849UcgfXLad,0.288,0.0534,9.0,-21.689,0.0,0.0443,0.986,0.00394,0.0945,0.125,136.902,audio_features,33WjZmABjWk4zrerZiFLJ7,spotify:track:33WjZmABjWk4zrerZiFLJ7,https://api.spotify.com/v1/tracks/33WjZmABjWk4zrerZiFLJ7,https://api.spotify.com/v1/audio-analysis/33WjZmABjWk4zrerZiFLJ7,204440.0,1.0
modern man,bad religion,pop,1990.0,world/life,60.0,4OPFX9TRHlEz1M5JGCvoiL,0.542,0.627,0.0,-7.105,1.0,0.0243,0.0794,0.000517,0.277,0.814,89.734,audio_features,4OHVCeQYPncEwZOtNAJZZx,spotify:track:4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/tracks/4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/audio-analysis/4OHVCeQYPncEwZOtNAJZZx,305213.0,4.0
